,제품코드,제품명,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
136,4004000000076,캐모마일 블렌드 티,0,0,0,0,0,0,0,0,0,0
137,4004000000066,히비스커스 블렌드 티,0,0,0,0,0,0,0,0,0,0
138,9200000004566,레드 파워 패션 티,190,0,1,0,0,40,31,33,0,46
139,9200000004990,레몬 캐모마일 블렌드 티,130,0,0,0,0,10,30,0,0,32
140,9200000005307,복숭아 아이스 티,110,0,0,0.3,0,35,15,30,0,32
141,9200000005310,복숭아 아이스 티,255,0,1,1,0,75,34,70,0,76
142,9200000005304,복숭아 핫 티,160,0,0,0.3,0,50,21,70,0,44
143,9200000006560,시트러스 가든 민트 티,140,0,0,0,0,5,32,0,0,29
144,9200000004991,아이스 레몬 캐모마일 블렌드 티,130,0,0,0,0,10,30,0,0,32
145,9200000000190,아이스 자몽 허니 블랙 티,125,0,0,0,0,5,30,30,0,31
146,9200000004769,아이스 자몽 허니 블랙 티,345,0,1,0,0,10,79,75,0,82
147,9200000004954,말차 티라미수 라떼,415,15,11,22,0,230,39,75,35,42
148,9200000004933,스타벅스 클래식 밀크 티,299,13,5,17,0,80,31,190,15,33
149,9200000004942,스타벅스 클래식 밀크 티 보틀,485,21,7,27,0,130,51,195,25,54
150,9200000004955,아이스 말차 티라미수 라떼,355,13,8,19,0,180,34,75,25,37
151,9200000004936,아이스 스타벅스 클래식 밀크 티,198,9,3,11,0,50,21,80,10,22
152,9200000004288,아이스 얼 그레이 바닐라 티 라떼,270,12,6,16,0,100,21,29,25,26
153,9200000005590,아이스 의암호의 보랏빛 라벤더 티 라떼,290,7,4,10,0,80,33,13,15,46
154,9200000005781,아이스 인절미 제주 말차 라떼,353,11,9,17,0,170,34,52,20,35
155,9200000002499,아이스 제주 말차 라떼,155,3.6,6,6,0,95,16,60,20,18
156,9200000006059,아이스 프렌치 바닐라 말차 라떼,260,11,6,14,0,160,25,40,20,27
157,9200000004285,얼 그레이 바닐라 티 라떼,290,13,7,17,0,105,22,55,25,28
158,9200000005589,의암호의 보랏빛 라벤더 티 라떼,315,8,5,11,0,100,35,70,20,48
159,9200000005780,인절미 제주 말차 라떼,452,14,14,21,0,240,43,58,35,44
160,9200000002496,제주 말차 라떼,205,5,9,9,0,130,20,60,25,22
161,9200000006548,클라우드 코코 말차,160,3.4,2,4.1,0,65,24,47,0,29
162,9200000006058,프렌치 바닐라 말차 라떼,380,15,12,21,0,250,35,40,35,36
163,9200000004950,딸기 콜드폼 초콜릿,255,2,7,3.8,0,110,45,5,10,49
